CM020065.1	5892	6153	CM023919.1	7845	8102	+
CM020065.1	7128	8860	CM023913.1	87491829	87493517	+
CM020065.1	14354	15954	CM023919.1	8368	10016	+
CM020065.1	22540	22626	CM023914.1	98771934	98772026	+
CM020065.1	22626	24022	CM023938.1	30393097	30394480	+
CM020065.1	24022	24153	CM023913.1	64876138	64876269	+
CM020065.1	25333	25669	CM023930.1	6325639	6325937	+
CM020065.1	25960	26267	CM023939.1	15656694	15656994	+
CM020065.1	26942	27080	CM023938.1	44451205	44451335	+
CM020065.1	27080	30180	CM023913.1	16142834	16146965	+
CM020065.1	30218	30307	CM023912.1	57379539	57379657	+
CM020065.1	31016	78660815	CM023939.1	473	68675700	+
CM020065.1	78660823	78660883	CM023916.1	19804623	19804682	+
CM020065.1	78660883	78661726	CM023915.1	51432102	51432894	+
CM020065.1	78661726	78661842	CM023917.1	16949113	16949244	+
CM020065.1	78667746	78668328	JABDSK010000041.1	3894	4439	+
CM020065.1	78668328	78668459	JABDSK010000041.1	4450	4583	+
CM020065.1	78668498	78668580	JABDSK010000031.1	4423	4516	+
CM020065.1	78668580	78669352	CM023936.1	2869159	2869931	+
CM020065.1	78676993	78677069	CM023912.1	1173929	1174004	+
CM020065.1	78677528	78677714	CM023913.1	61912931	61913123	+
CM020065.1	78685569	78685674	CM023912.1	86544465	86544566	+
CM020065.1	78687208	78687467	CM023913.1	50436811	50437084	+
CM020065.1	78703738	78703774	CM023939.1	63276169	63276205	+
CM020065.1	78721857	78721941	CM023938.1	16456653	16456737	+
CM020065.1	78728772	78728878	CM023939.1	32836192	32836309	+
CM020065.1	78728878	78729341	CM023914.1	73488357	73488818	+
CM020065.1	78729341	78729455	CM023939.1	32836803	32837031	+
CM020065.1	78735689	78736180	CM023920.1	849844	850848	+
CM020065.1	78736500	78736732	CM023938.1	69625042	69625238	+
CM020065.1	78737677	78737743	CM023913.1	77454143	77454221	+
CM020065.1	78737762	78740317	CM023913.1	13296085	13298775	+
CM020065.1	78740348	78740415	CM023917.1	29728558	29728628	+
CM020065.1	78753016	78753120	CM023938.1	22207571	22207683	+
CM020065.1	78766018	78776858	CM023939.1	57597097	57607380	+
CM020065.1	78777488	78780292	CM023923.1	9623946	9624209	+
CM020065.1	78783658	78783769	CM023935.1	4207540	4207651	+
CM020065.1	78791343	78791389	CM023938.1	53790997	53791043	+
CM020065.1	78796628	78796802	CM023935.1	4222329	4222504	+
CM020065.1	78817139	78817228	CM023917.1	4689134	4689222	+
CM020065.1	78821045	78821161	CM023913.1	34254407	34254525	+
CM020065.1	78835596	78835851	CM023912.1	19477333	19477588	+
CM020065.1	78838329	78839438	CM023914.1	62575773	62576885	+
CM020065.1	78839468	78839548	CM023938.1	38631710	38631773	+
CM020065.1	78846370	78846598	CM023915.1	25622702	25622923	+
CM020065.1	78855554	78856073	CM023912.1	41171187	41171748	+
CM020065.1	78861047	78861160	CM023939.1	38941605	38941718	+
CM020065.1	78866771	78866976	CM023939.1	38945086	38945261	+
CM020065.1	78868690	78868849	CM023913.1	52505737	52505901	+
CM020065.1	78883282	78885017	CM023916.1	12694888	12696419	+
CM020065.1	78890191	78890346	CM023916.1	46974150	46974305	+
CM020065.1	78895525	78895689	CM023916.1	46719250	46719410	+
CM020065.1	78897417	78897545	CM023914.1	2913096	2913233	+
CM020065.1	78897962	78898772	CM023916.1	46977398	46977779	+
CM020065.1	78908757	78908811	CM023939.1	54181698	54181752	+
CM020065.1	78916156	78916392	CM023915.1	10194356	10194593	+
CM020065.1	78922610	78922742	CM023912.1	27672167	27672299	+
CM020065.1	78927139	78928748	CM023913.1	40530189	40531802	+
CM020065.1	78962337	78962464	CM023914.1	81948683	81948794	+
CM020065.1	78970209	78970710	CM023915.1	59786228	59786692	+
CM020065.1	78975750	78976145	CM023913.1	107336997	107337401	+
CM020065.1	78976145	78976307	CM023930.1	11378657	11378791	+
CM020065.1	78976307	78976639	CM023913.1	73162276	73162622	+
CM020065.1	78976639	78978318	CM023914.1	25562840	25565762	+
CM020065.1	78978362	78978445	CM023913.1	139136253	139136339	+
