CM020065.1	5926	6434	NC_048300.1	6687301	6687810	+
CM020065.1	7210	7726	NC_048299.1	106573101	106573643	+
CM020065.1	9378	9478	NC_048300.1	110690626	110690725	+
CM020065.1	14355	15787	NC_048300.1	6688936	6690513	+
CM020065.1	27038	30187	NC_048298.1	178443930	178447288	+
CM020065.1	32350	32473	NC_048301.1	117643071	117643195	+
CM020065.1	33450	35205	NC_048301.1	117646117	117647106	+
CM020065.1	37434	37644	NC_048301.1	117652496	117652706	+
CM020065.1	42447	42493	NC_048302.1	6543072	6543118	+
CM020065.1	43860	44086	NC_048313.1	7055180	7055400	+
CM020065.1	47830	48683	NC_048300.1	83364191	83365102	+
CM020065.1	65450	66068	NC_048299.1	110393600	110394322	+
CM020065.1	69154	70360	NC_048299.1	138065740	138066942	+
CM020065.1	72083	72724	NC_048308.1	19966824	19967450	+
CM020065.1	72923	74044	NC_048298.1	139978646	139979776	+
CM020065.1	74536	74609	NC_048304.1	20328335	20328408	+
CM020065.1	79703	79802	NC_048298.1	85085730	85085825	+
CM020065.1	84472	92717	NC_048301.1	81292426	81296395	+
CM020065.1	103356	105707	NC_048304.1	112927665	112929982	+
CM020065.1	109096	109263	NC_048300.1	108579650	108579822	+
CM020065.1	109679	133522	NC_048309.1	39456325	39480167	+
CM020065.1	133522	133940	NC_048309.1	34760020	34760416	+
CM020065.1	134206	135159	NC_048309.1	35370565	35371518	+
CM020065.1	137324	138284	NC_048304.1	27842387	27843335	+
CM020065.1	138866	139054	NC_048298.1	316807975	316808169	+
CM020065.1	140599	140685	NC_048300.1	13123084	13123164	+
CM020065.1	142264	143268	NC_048301.1	77564550	77565527	+
CM020065.1	145257	147746	NC_048309.1	32701377	32703822	+
CM020065.1	164091	165669	NC_048305.1	37167872	37169412	+
CM020065.1	165775	166019	NC_048310.1	12629054	12629282	+
CM020065.1	174063	174204	NC_048302.1	8088069	8088210	+
CM020065.1	175006	175188	NC_048301.1	142096821	142096991	+
CM020065.1	187705	187880	NC_048298.1	191254859	191255029	+
CM020065.1	188285	188426	NC_048302.1	8088069	8088210	+
CM020065.1	189227	189409	NC_048301.1	142096821	142096991	+
CM020065.1	206046	206627	NC_048301.1	12661517	12662282	+
CM020065.1	217298	217868	NC_048314.1	23018588	23019204	+
CM020065.1	220165	220253	NC_048302.1	40532926	40533014	+
CM020065.1	221949	222347	NC_048310.1	891574	891938	+
CM020065.1	242676	242834	NC_048298.1	136976522	136976687	+
CM020065.1	243693	244435	NC_048299.1	14637368	14638132	+
CM020065.1	259148	259288	NC_048298.1	148728866	148729010	+
CM020065.1	261679	262366	NC_048314.1	1917744	1918429	+
CM020065.1	262366	262479	NC_048307.1	64887527	64887647	+
CM020065.1	268314	268529	NC_048301.1	81558071	81558286	+
CM020065.1	269495	269717	NC_048298.1	87583426	87583699	+
