CM012306.1	2210	6328	CM008855.1	5136912	5138616	+
CM012306.1	7366	7487	CM008846.1	4900975	4901117	+
CM012306.1	7769	7904	CM008843.1	190508	190643	+
CM012306.1	59116	62967	CM008855.1	2602571	2603820	+
CM012306.1	72675	74628	CM008828.1	30544133	30545462	+
CM012306.1	96045	96271	CM008857.1	27474189	27474418	+
CM012306.1	98443	98639	CM008857.1	27497005	27497201	+
CM012306.1	102916	103033	CM008857.1	27502199	27502316	+
CM012306.1	105291	105419	CM008857.1	27505581	27505709	+
CM012306.1	107121	107236	CM008857.1	27511177	27511292	+
CM012306.1	108612	109847	CM008857.1	27513477	27515862	+
CM012306.1	112693	112843	CM008857.1	27517592	27517750	+
CM012306.1	116457	116647	CM008857.1	27518566	27518751	+
CM012306.1	147392	149309	CM008835.1	19569724	19570204	+
CM012306.1	184759	191448	CM008835.1	19571813	19575058	+
CM012306.1	195210	195429	CM008857.1	27751576	27751795	+
CM012306.1	195429	195513	CM008835.1	19575969	19576062	+
CM012306.1	196613	196715	CM008831.1	31498565	31498666	+
CM012306.1	269771	271205	CM008857.1	27784548	27785749	+
CM012306.1	275537	275691	CM008835.1	19584309	19584467	+
CM012306.1	277726	278207	CM008835.1	19585867	19586976	+
CM012306.1	326231	328216	CM008831.1	38677196	38679180	+
CM012306.1	328971	329308	CM008855.1	1334685	1335023	+
CM012306.1	335659	335760	CM008855.1	1335857	1335958	+
CM012306.1	339119	339200	CM008855.1	1336880	1336958	+
CM012306.1	341511	341673	CM008855.1	1337034	1337196	+
CM012306.1	352396	394924	CM008855.1	1341379	1359455	+
CM012306.1	442613	443778	CM008855.1	1332136	1332830	+
CM012306.1	445971	446156	CM008855.1	444732	444911	+
CM012306.1	457089	457261	CM008839.1	3202120	3202293	+
CM012306.1	459694	460874	CM008857.1	37605517	37606663	+
CM012306.1	465683	465941	CM008857.1	37631077	37631349	+
CM012306.1	487879	489161	CM008857.1	37680203	37681772	+
CM012306.1	492189	496625	CM008857.1	37605525	37608406	+
CM012306.1	497496	497703	CM008857.1	37747494	37747701	+
CM012306.1	545254	545420	CM008857.1	38401208	38401376	+
CM012306.1	565849	573866	CM008855.1	1211635	1213034	+
CM012306.1	581628	583099	CM008837.1	18791780	18792104	+
CM012306.1	586727	586811	CM008828.1	81534467	81534561	+
CM012306.1	607580	607785	CM008857.1	16379063	16379264	+
CM012306.1	609577	609661	CM008857.1	16391827	16391911	+
CM012306.1	612585	612900	CM008857.1	16405309	16405629	+
CM012306.1	614338	614525	CM008857.1	16409094	16409294	+
CM012306.1	616324	616367	CM008835.1	20163679	20163722	+
CM012306.1	692076	692555	CM008855.1	2749189	2749672	+
CM012306.1	709130	712046	CM008856.1	267410	269239	+
CM012306.1	713596	713715	CM008856.1	277142	277261	+
CM012306.1	716584	716650	CM008828.1	52300144	52300211	+
CM012306.1	722796	726743	CM008855.1	2525872	2527313	+
CM012306.1	739245	739418	CM008855.1	2529766	2529939	+
CM012306.1	741506	741635	CM008855.1	2531350	2531482	+
CM012306.1	748167	748325	CM008855.1	2532752	2532904	+
CM012306.1	758257	758438	CM008855.1	2534311	2534480	+
CM012306.1	760996	761254	CM008832.1	3353536	3353804	+
CM012306.1	814168	814318	CM008837.1	15376006	15376152	+
CM012306.1	907394	908693	CM008855.1	2703456	2704698	+
CM012306.1	947889	982793	CM008855.1	2710130	2713779	+
CM012306.1	995199	995284	CM008846.1	5477831	5477949	+
CM012306.1	1024025	1024199	CM008829.1	138307693	138307875	+
CM012306.1	1069699	1103098	CM008855.1	3018936	3032630	+
CM012306.1	1108564	1110420	CM008855.1	3034525	3038120	+
CM012306.1	1126771	1127332	CM008855.1	3042178	3042640	+
CM012306.1	1205433	1205646	CM008829.1	76414342	76415834	+
CM012306.1	1205646	1206122	CM008829.1	57747023	57747503	+
CM012306.1	1237672	1237899	CM008855.1	3105502	3105725	+
CM012306.1	1249410	1268468	CM008855.1	3108267	3111373	+
CM012306.1	1284726	1285106	CM008831.1	4374324	4374716	+
CM012306.1	1346482	1346552	CM008847.1	4785624	4785694	+
CM012306.1	1396744	1397645	CM008857.1	9368998	9370211	+
CM012306.1	1398831	1398954	CM008857.1	9372780	9372903	+
CM012306.1	1400012	1401361	CM008855.1	3113653	3114160	+
CM012306.1	1502721	1502900	CM008830.1	60583300	60583480	+
CM012306.1	1558459	1558834	CM008855.1	3191752	3192024	+
CM012306.1	1588748	1588913	CM008855.1	3202746	3202911	+
CM012306.1	1606605	1606861	CM008855.1	3203080	3203321	+
CM012306.1	1612726	1612919	CM008855.1	3204109	3204299	+
CM012306.1	1647394	1647590	CM008855.1	3208542	3208687	+
CM012306.1	1679459	1679571	CM008830.1	4317698	4317813	+
CM012306.1	1680646	1683536	CM008830.1	4320953	4323437	+
CM012306.1	1687360	1687477	CM008830.1	4327549	4327666	+
